name,cuisine,avg_meal_cost,city,rating
736 AD Cafe & Bar,"Multi-Cuisine,  Italian,  Chinese,  Continental,  Lebanese",1500,Delhi,4.2
Jamun,"North Indian,  Seafood,  Andhra,  Kerala",3000,Delhi,4.4
Ping's Cafe Orient,Asian,2100,Delhi,4.4
Maini's Green Leaf,"North Indian,  Italian,  Chinese",1000,Delhi,4.3
Elan,"Continental,  North Indian,  Italian",4000,Delhi,4.3
MKT,"Multi-Cuisine,  North Indian,  Italian,  Mexican,  European,  Seafood,  Asian",1900,Delhi,4.5
Sandoz,"North Indian,  Chinese",1000,Delhi,3.1
Guppy,"Asian,  Japanese,  Oriental ",2500,Delhi,4.3
AlKauser,"Mughlai,  North Indian",800,Delhi,4
G2 Cafe,"Multi-Cuisine,  North Indian,  Italian,  European,  Asian",1600,Delhi,4.2
Breakin' Brew,"Italian,  Continental,  Oriental ",900,Delhi,4.6
Kake Da Hotel,North Indian,1000,Delhi,3.6
Bake Club,"Bakery and Confectionary,  Desserts,  Fast Food",500,Delhi,5
The Sky High,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mughlai",2000,Delhi,4.2
The Salt Cafe Kitchen & Bar,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  American",2000,Delhi,4.3
Sana-Di-Ge,"Seafood,  North Indian,  Goan,  Kerala",2200,Delhi,4.4
Anardana Modern Kitchen & Bar,"North Indian,  Italian,  Chinese,  Continental",1700,Delhi,4.3
Perbacco,Italian,3000,Delhi,4
Uncultured Cafe & Bar,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Finger Food",1500,Delhi,4.3
Elma's Brasserie,"Continental,  Italian,  European,  Desserts",1200,Delhi,4.4
Verandah Moonshine,"North Indian,  Fast Food",1500,Delhi,4.2
Breath - Fine Lounge and Bar,"North Indian,  Chinese",1200,Delhi,3.9
Pinjore,North Indian,1000,Delhi,3.6
The Barbeque Company,"North Indian,  Barbecue,  Chinese",2100,Delhi,4.3
Xpose Lounge,"North Indian,  Chinese,  Finger Food",1700,Delhi,3.9
Berco's,"Chinese,  Thai",1300,Delhi,4.1
Gyan's Restaurant,North Indian,800,Delhi,4.1
Housefull Cafe Lounge,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",1800,Delhi,4.2
Taco Bell,"Mexican,  Tex Mex,  Tex Mex",500,Delhi,4.5
Sandoz,"North Indian,  Chinese",1200,Delhi,4.4
Off Campus,"North Indian,  Italian,  Continental,  Fast Food",1000,Delhi,4.2
The Yellow Chilli,"North Indian,  Mughlai",2000,Delhi,4.2
Gram by Taksim,"North Indian,  Asian,  Italian,  European",2200,Delhi,4.1
Xero Degrees,"Italian,  Fast Food,  Shakes",900,Delhi,4.4
The Barbeque Company,"North Indian,  Barbecue,  Chinese",2100,Delhi,4.3
By The Bay,"Multi-Cuisine,  North Indian,  Italian,  American,  Seafood",1800,Delhi,4.1
Cafe Delhi Heights,"Modern Indian,  Italian,  Continental,  American",2000,Delhi,4.4
Cafe Delhi Heights,"Modern Indian,  Italian,  Continental,  American",2000,Delhi,4.5
Chili's American Grill and Bar,"Mexican,  American,  Italian",2000,Delhi,4.5
Vikrant Cafe,"North Indian,  Fast Food,  Chinese,  South Indian",700,Delhi,3.7
Tippling Street,"North Indian,  Chinese,  Continental,  Asian",1800,Delhi,4.3
The Bowton House Cafe,"North Indian,  Chinese,  Italian,  Continental",800,Delhi,3.7
Bhukkad's Cafe,Fast Food,400,Delhi,4.7
JD Theatre Cafe,Fast Food,500,Delhi,4.7
Moti Mahal Delux,"North Indian,  Chinese,  Mughlai",1500,Delhi,4.4
The Laalten,"North Indian,  Continental,  Oriental ,  Fast Food",1600,Delhi,4.2
Govardhan Vegetarian,"North Indian,  Chinese,  South Indian",1000,Delhi,3.7
Sambookas,"Italian,  Continental,  Fast Food",1200,Delhi,4.3
Clay 1 Grill,North Indian,2000,Delhi,4.2
Cafe Chill'm,"North Indian,  Fast Food,  Italian,  American",1800,Delhi,4.1
Imly,"Street Food,  North Indian,  Chinese,  South Indian,  Fast Food",800,Delhi,4.2
The Hogwarts Kafe,"Fast Food,  North Indian,  Italian,  Continental,  Mexican,  Lebanese,  Oriental ",1200,Delhi,4.2
Chimney Sizzlers,"Chinese,  Fast Food",800,Delhi,4.5
Sixth Empirica,"North Indian,  Italian,  Chinese,  Continental",1200,Delhi,4.1
Limitless,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",2000,Delhi,4.2
TESORO MIO KITCHEN 'N' KAFFE,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mexican",1600,Delhi,4.1
Tikka Junction,"North Indian,  Chinese",1500,Delhi,4
Blackmail Lounge,"North Indian,  Italian,  Chinese",1400,Delhi,4.4
The Flying Saucer,"Finger Food,  North Indian,  Italian,  Continental,  Mediterranean,  Oriental ",2800,Delhi,4.1
The Crypto Door,"Continental,  American,  Italian,  Lebanese,  Fusion",800,Delhi,4.7
3 Friends Pizza,Pizza,400,Delhi,5
Moets Curry Leaf,"North Indian,  Mughlai,  Kashmiri",2000,Delhi,4.1
Le Cirque,"Italian,  Continental,  French",5000,Delhi,4.4
Crazy Kitchen Rooftop & Lounge,"Fast Food,  North Indian,  Italian,  Chinese",700,Delhi,4.3
Wow! Momo,"Fast Food,  Tibetan",400,Delhi,3.5
The Qube,"North Indian,  Italian,  Continental,  Asian",5000,Delhi,4.5
Wow! Momo,"Fast Food,  Tibetan",400,Delhi,3.3
Cafe Delhi Heights,"Continental,  Modern Indian,  Italian,  American",2000,Delhi,4.5
The Firangi Island,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",1600,Delhi,4.2
Barbeque Nation,"North Indian,  Barbecue,  Mughlai",1700,Delhi,4.4
Maestro A Restro Cafe,"North Indian,  Chinese,  Fast Food",1300,Delhi,4.3
Antidot Waterbar and Cafe,"Multi-Cuisine,  Italian,  Continental,  Asian,  Modern Indian",3000,Delhi,4.2
Cafe Another Day,"North Indian,  Italian,  Chinese",1000,Delhi,4.3
Wood Box Cafe,"Fast Food,  Shakes",800,Delhi,4.4
Chai Mantra,"Fast Food,  Tea,  Chinese",300,Delhi,3.7
Imperfecto Ruin Pub,"Multi-Cuisine,  Mediterranean",2400,Delhi,4
La Piazza,"Italian,  Pizza",4500,Delhi,4.5
New Kadimi,"North Indian,  Chinese,  South Indian",800,Delhi,4.1
Megu,"Japanese,  Seafood",5000,Delhi,4.3
Cafe Diaries,"Multi-Cuisine,  Italian,  Chinese,  Continental,  Fast Food",800,Delhi,4.6
Nukkad Cafe & Bar,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Asian",1500,Delhi,4.2
Daawat Restaurant,"North Indian,  Chinese,  South Indian",600,Delhi,4
Padmanabham,South Indian,700,Delhi,4.4
RDX Reloaded Restaurant & Bar,"North Indian,  Chinese,  Mughlai",1500,Delhi,3.9
Ghoomar Traditional Thali Restaurant,Rajasthani,1000,Delhi,4.5
Slique,"North Indian,  Asian",2500,Delhi,4
Cafe Delhi Heights,"Modern Indian,  Italian,  Continental,  American",2000,Delhi,4.5
Shalom - Laidback Cafe,"Multi-Cuisine,  North Indian,  Italian,  Mediterranean,  Asian",2000,Delhi,4.5
The Chatter House,"North Indian,  Italian,  Continental",2000,Delhi,4.2
Underpass,"North Indian,  Chinese,  Fast Food",1500,Delhi,3.4
Bottle House,"Multi-Cuisine,  North Indian,  Chinese,  Continental",1100,Delhi,4.1
Three Tuns Cafe & Bar,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",2200,Delhi,3.8
Mystique Melange,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Thai,  Lebanese,  Oriental ",1800,Delhi,4.2
The Turkey Project,"Italian,  American",1500,Delhi,4.8
Radio Station,"Finger Food,  North Indian,  Italian,  Chinese,  Continental",1600,Delhi,4.3
Cafe Emoji's,Fast Food,500,Delhi,5
Nehru Place Social,"North Indian,  Continental,  American,  Chinese",2000,Delhi,4.4
Troy Lounge and Bar,"North Indian,  Multi-Cuisine,  Chinese,  Continental",1500,Delhi,3.8
The Race Lounge And Bar,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Lebanese,  Oriental ",1200,Delhi,3.8
High Bae,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",1600,Delhi,4.2
Pipeline Cafe,"Fast Food,  Italian,  Chinese,  Continental",800,Delhi,4.2
Talli Station,"North Indian,  Chinese,  Fast Food",1500,Delhi,5
Brickyard Cafe And Lounge,"Fast Food,  North Indian,  Chinese",700,Delhi,4.4
The Construction Co. Cafe,"Fast Food,  Italian,  Chinese",800,Delhi,3.9
7 Old Town,"Italian,  Asian,  North Indian",1700,Delhi,4.2
The Clay Oven,"North Indian,  Chinese,  Mughlai",800,Delhi,4.4
Greetoz Cafe,"North Indian,  Chinese",700,Delhi,4
No. 1 Uncles Parantha,"North Indian,  Fast Food",400,Delhi,4
Two Pots Kitchen,"Italian,  Chinese,  Continental,  Lebanese,  Desserts",600,Delhi,4.9
The China Kitchen,"Chinese,  Seafood",4500,Delhi,4.5
Madrina,"North Indian,  Italian,  Chinese",2200,Delhi,4.2
Taxi - World Food Cafe,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",1200,Delhi,4.4
Pind Balluchi,"North Indian,  Mughlai",1800,Delhi,4.1
Fabcafe by Fabindia,"Health Food,  Modern Indian,  North Indian,  Continental",1200,Delhi,4.4
Kabila Cafe,"Fast Food,  North Indian,  Italian,  Chinese,  Shakes",1000,Delhi,3.7
Summer House Cafe,"Italian,  Mediterranean,  Finger Food",2300,Delhi,4.2
Full Stop,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",1200,Delhi,5
Imly,"Street Food,  North Indian,  Chinese,  South Indian,  Fast Food",800,Delhi,4.1
Mic Drop Bar and Restaurant,North Indian,1000,Delhi,4
TK's Oriental Grill,"Thai,  Japanese,  Oriental ,  Indonesian,  Asian,  Sushi",4000,Delhi,4.5
Young Wild Free Cafe,"Fast Food,  Italian,  Biryani",800,Delhi,4
Gola Sizzlers,"Sizzlers,  North Indian,  Chinese",1200,Delhi,4
Wow! Momo,"Fast Food,  Tibetan",400,Delhi,4.5
Rustic Cafe,"Fast Food,  Italian,  Chinese,  Continental",800,Delhi,3.9
The Branch Kitchen & Bar,"Multi-Cuisine,  Italian,  Continental,  American",2200,Delhi,4
Seasonings - The Spice Mysteries,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mughlai",1600,Delhi,4.1
Kofuku,"Japanese,  Asian",1800,Delhi,4.5
Infinity Lounge Dine and Bar,"North Indian,  Chinese,  Continental,  Multi-Cuisine,  Italian,  South Indian",1500,Delhi,4.1
Bhalla King,"Street Food,  Fast Food",300,Delhi,5
The Piano Man Jazz Club,"European,  Asian,  Italian",2500,Delhi,4.4
The Big House Cafe,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",700,Delhi,3.6
Fio Cookhouse and Bar,"Continental,  North Indian,  Italian",4000,Delhi,4.4
Annakoot by ISKCON Bangalore,"South Indian,  Street Food,  Mithai",500,Delhi,3.6
The Chai Story,"Fast Food,  Tea",400,Delhi,4.3
Ziu,Thai,1500,Delhi,4.4
Meraki Cafe & Bar,"North Indian,  Chinese,  Italian,  Continental",1600,Delhi,4
Plum By Bent Chair,"Asian,  Continental,  Japanese,  Pizza,  Sushi",3000,Delhi,4.3
TBK Kulcha's,"Street Food,  Fast Food",500,Delhi,4.5
Da Safe Zone,"North Indian,  Italian,  Chinese,  Fast Food",1000,Delhi,3.6
The Chai Story,"Fast Food,  Tea",400,Delhi,3
Te Amo,"Multi-Cuisine,  Continental,  Mexican,  European,  South American",2200,Delhi,4.3
Only Bar,"North Indian,  Chinese",1000,Delhi,4.1
Amar Jyoti,North Indian,1000,Delhi,3.1
Seoul Restaurant,"Japanese,  Korean",2000,Delhi,4.8
Frozen Bottle,"Shakes,  Desserts,  Ice Cream",300,Delhi,3
Boombox Cafe,"Arabian,  North Indian,  Continental,  Mexican,  Oriental ",2500,Delhi,4.1
For God's Cake,"Desserts,  Bakery and Confectionary",500,Delhi,4.5
Cafe Platonic,"North Indian,  Chinese,  Continental,  South Indian",1000,Delhi,3.9
Chili's American Grill and Bar,"Mexican,  American,  Italian",2000,Delhi,4.3
IKK Panjab,North Indian,1800,Delhi,4.3
Raftaar - The High Speed Bar and Lounge,"Continental,  North Indian,  Italian",1600,Delhi,4.2
Stupid Bar & Kitchen,"North Indian,  Chinese,  Seafood",1000,Delhi,3.9
Turn Up,"Fast Food,  North Indian,  Chinese",1200,Delhi,3.1
Ada'e Haandi's,"North Indian,  Mughlai,  Chinese",800,Delhi,5
Moh Maya Cafe,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mexican",1500,Delhi,3.8
Cafe Tesu,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Japanese,  Deli",2500,Delhi,4.4
Spice Court,"North Indian,  Chinese",1500,Delhi,4.1
Waffle Street,"Desserts,  Shakes,  Waffle,  Fast Food",400,Delhi,4.1
Dramz,"Multi-Cuisine,  North Indian,  Continental,  European,  Oriental ",2400,Delhi,4.1
Sidewalk,Bakery and Confectionary,1000,Delhi,4.5
Cafe,"North Indian,  Multi-Cuisine,  Indian Cuisine,  European",4000,Delhi,4.2
Veg Gulati,"North Indian,  Biryani,  Indian Cuisine",1200,Delhi,4.4
Cafe After Hours,"North Indian,  Chinese,  Continental",1200,Delhi,4.2
Pirates Of Grill,"North Indian,  Continental,  Mughlai",2000,Delhi,4.4
Chili's American Grill and Bar,"Mexican,  American,  Italian",2000,Noida,4.4
Oh Boy Lounge,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",1600,Delhi,3.3
Lord of the Drinks Forum,"Multi-Cuisine,  North Indian,  Continental,  Oriental ",2000,Delhi,4.2
Syrah,"Mediterranean,  Middle Eastern",4500,Delhi,3.8
Wow! Momo,"Fast Food,  Tibetan",400,Delhi,3.6
Raasta,"Finger Food,  Italian,  Chinese,  Continental,  Mediterranean",2000,Delhi,4.4
Theos,"Desserts,  Bakery and Confectionary,  Fast Food",900,Delhi,4.4
Jazbaa Lounge and Bar,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Asian,  Mughlai",1600,Delhi,4.1
Chili's American Grill and Bar,"Mexican,  American,  Italian",2000,Delhi,4.5
Ada'e Haandi's,"North Indian,  Chinese,  Seafood",600,Delhi,4
Cafe 27,"Italian,  North Indian,  Chinese,  Fast Food",1700,Delhi,4.2
London Street,"North Indian,  Chinese,  Fast Food",1800,Delhi,4.1
KOST,"Italian,  Chinese,  Fast Food",1000,Delhi,5
Sandoz,North Indian,1000,Delhi,4.3
Le Chef,"North Indian,  Chinese,  Fast Food",1000,Delhi,4.1
Mad Over Donuts,"Desserts,  Doughnuts",400,Delhi,4
Goosebumps,"Desserts,  Ice Cream,  Fast Food",400,Delhi,4.1
Shalom - Laidback Cafe,"Multi-Cuisine,  North Indian,  Italian,  Mediterranean,  Asian",2000,Delhi,4.3
4th Street Cafe,"Fast Food,  Shakes",500,Delhi,4.4
MOC - The American Restaurant,"American,  Burger,  Fast Food",400,Delhi,3.7
Naivedyam,South Indian,500,Delhi,4.2
Drums of Heaven,"Asian,  Chinese,  Thai,  Seafood",1400,Delhi,4.1
The Waffle Co.,"Desserts,  Waffle,  Shakes",400,Delhi,5
Smelling Salts,"Multi-Cuisine,  North Indian,  Italian,  Mediterranean,  Asian",1800,Delhi,4.4
Ama Thakali,Nepalese,600,Delhi,4.3
Gung The Palace,"Korean,  Seafood",2500,Delhi,4.7
United Coffee House Rewind,"Multi-Cuisine,  North Indian,  Italian,  Mediterranean,  European,  Oriental ",3000,Delhi,4.3
Miss Nora,"Japanese,  Asian,  Chinese,  Thai,  Malaysian",1600,Delhi,4.5
Cafe Delhi Heights,"Modern Indian,  Italian,  Continental,  American",2000,Delhi,4.3
The Colony Bistro,"Fast Food,  North Indian,  Italian,  Continental",2100,Delhi,4
Pinch of Spice,"North Indian,  Mughlai,  Chinese",1800,Delhi,4.3
The Waffle Co.,"Desserts,  Waffle,  Shakes",400,Delhi,4.3
Roadhouse Cafe,"Italian,  Chinese,  Thai,  Mediterranean,  American,  Asian",2400,Delhi,4.4
Dhaba Estd 1986 Delhi,North Indian,1200,Delhi,4.2
Lord of the Drinks Drinks Chamber,"Multi-Cuisine,  North Indian,  Continental,  Oriental ",2300,Delhi,4.2
Cafe Junk,"Fast Food,  Shakes",500,Delhi,4.6
The Snook Hook Cafe,"North Indian,  Italian,  Fast Food",1200,Delhi,4
Kori's,"Asian,  Korean,  Japanese,  Sushi",1300,Delhi,4.1
